feature_set,model,calibration,n_features,cv_type,n_folds,auc,logloss,brier,accuracy,f1,site_auc_mean,site_auc_std,site_logloss_mean,site_logloss_std,elapsed
SBR,XGB,temp,92,site_aware,5,0.819986721955573,0.5215332890570549,0.17305176943017717,0.7474302496328928,0.7514450867052023,0.8620569075282646,0.07873288575620235,0.48690680442085493,0.1429527654613455,33.786534786224365
SBR,XGB,gamma,92,site_aware,5,0.8210097843950327,0.5174471046064342,0.17225092507406128,0.7474302496328928,0.7514450867052023,0.8620569075282646,0.07873288575620235,0.48620593226889486,0.1430896093161423,33.786534786224365
SBR,LGB,raw,92,site_aware,5,0.8320653889269816,0.5504923446269464,0.17581091337052032,0.7547723935389133,0.7569141193595342,0.8850607318154593,0.09160606085475113,0.4866254856267579,0.2048389689488075,17.758960723876953
SBR,LGB,platt,92,site_aware,5,0.8088679922943808,0.5378715138024022,0.17832205732988946,0.7481644640234949,0.7527036770007209,0.8850607318154593,0.09160606085475113,0.49461163595909063,0.148119630045467,17.758960723876953
SBR,LGB,isotonic,92,site_aware,5,0.8153655271492475,0.5646263450488419,0.18146271007924847,0.7540381791483113,0.7498132935026139,0.8695661650346148,0.08883469975130384,0.5255405642537012,0.2169390312550408,17.758960723876953
SBR,LGB,temp,92,site_aware,5,0.8320784492985492,0.5020938767500697,0.1661560273693781,0.7547723935389133,0.7569141193595342,0.8850607318154593,0.09160606085475113,0.4613567917511479,0.14118480074400386,17.758960723876953
SBR,LGB,gamma,92,site_aware,5,0.8320784492985492,0.5020939093489228,0.1661560306230543,0.7547723935389133,0.7569141193595342,0.8850607318154593,0.09160606085475113,0.4613567881170527,0.14118476209155198,17.758960723876953
SBR_PHYS,LR,raw,201,site_aware,5,0.7691775231005322,0.9937005965602733,0.2301933746922519,0.7063142437591777,0.7187060478199718,0.8306176091663756,0.1361297015207792,1.080750460523425,0.5128326516319823,2.166928768157959
SBR_PHYS,LR,platt,201,site_aware,5,0.739545716742308,0.6021187087025675,0.20537860470310115,0.7165932452276065,0.7359781121751026,0.8306176091663756,0.1361297015207792,0.7255850551785266,0.2440346745187434,2.166928768157959
SBR_PHYS,LR,isotonic,201,site_aware,5,0.7310412381232246,0.6201633705404933,0.20647481112410138,0.6886930983847284,0.7177097203728362,0.809180350076548,0.12557811852903314,0.8018541069271444,0.34586184669965786,2.166928768157959
SBR_PHYS,LR,temp,201,site_aware,5,0.7668255678540721,0.6126890485232109,0.20143117458824472,0.7063142437591777,0.7187060478199718,0.8306165496198614,0.13612997771845348,0.6982713659156948,0.23127450881168804,2.166928768157959
SBR_PHYS,LR,gamma,201,site_aware,5,0.7691775231005322,0.6722316486943642,0.20727501320262498,0.7063142437591777,0.7187060478199718,0.8306165496198614,0.13612997771845348,0.7434554620735878,0.2563812870202973,2.166928768157959
SBR_PHYS,Ridge,raw,201,site_aware,5,0.7348309226064148,0.652073475978595,0.2117411434129765,0.7026431718061674,0.7280053727333781,0.8024957135762071,0.1423828971894592,0.6742936722987711,0.2106824438118272,0.4905519485473633
SBR_PHYS,Ridge,platt,201,site_aware,5,0.7047354730575418,0.6454217764481051,0.22679864022671983,0.6769456681350955,0.7390272835112692,0.8024957135762071,0.1423828971894592,0.6657918466917713,0.1285387490083783,0.4905519485473633
SBR_PHYS,Ridge,isotonic,201,site_aware,5,0.6877461063767264,0.6656294883622857,0.22531933613558575,0.6211453744493393,0.7334710743801653,0.7711304107376764,0.14647829322999217,0.8127675507525023,0.3590307497215383,0.4905519485473633
SBR_PHYS,Ridge,temp,201,site_aware,5,0.724554586911331,0.6481331831416203,0.2214306735560586,0.7026431718061674,0.7280053727333781,0.8024957135762071,0.1423828971894592,0.6990762897473137,0.2645405620855152,0.4905519485473633
SBR_PHYS,Ridge,gamma,201,site_aware,5,0.7311326607241975,0.6315347601759088,0.21300176915218821,0.7026431718061674,0.7280053727333781,0.8024957135762071,0.1423828971894592,0.6929628267966018,0.2675835564267849,0.4905519485473633
SBR_PHYS,ET,raw,201,site_aware,5,0.8546097669812039,0.5068907821787941,0.1666088026644389,0.7797356828193832,0.7869318181818182,0.8802242423086291,0.08000000742542238,0.4605284603309113,0.11335146302784041,15.153544664382935
SBR_PHYS,ET,platt,201,site_aware,5,0.8251412152675743,0.543223169113673,0.18120657517686492,0.7555066079295154,0.7711340206185567,0.8802242423086291,0.08000000742542238,0.49033247048571366,0.114351167233736,15.153544664382935
SBR_PHYS,ET,isotonic,201,site_aware,5,0.8334029886483604,0.5571767444333727,0.16520912015351208,0.7826725403817915,0.8055190538764783,0.8651962127952496,0.084507532186339,0.4470441964290727,0.17731556530192286,15.153544664382935
SBR_PHYS,ET,temp,201,site_aware,5,0.8548143794690959,0.4758017728333317,0.15670499439388555,0.7797356828193832,0.7869318181818182,0.8802242423086291,0.08000000742542238,0.42221529796100193,0.13054956662569575,15.153544664382935
SBR_PHYS,ET,gamma,201,site_aware,5,0.8548143794690959,0.4758017422699341,0.15670498503952396,0.7797356828193832,0.7869318181818182,0.8802242423086291,0.08000000742542238,0.42221521292563546,0.13054966243203642,15.153544664382935
SBR_PHYS,XGB,raw,201,site_aware,5,0.8481274692264995,0.5256539142415406,0.1648691619493926,0.762848751835536,0.7777013076393668,0.864852195842943,0.10927854575811571,0.5183304965798274,0.22755851846641775,71.87502932548523
SBR_PHYS,XGB,platt,201,site_aware,5,0.8294663749850348,0.5214876756154005,0.17066773283066095,0.7584434654919237,0.777552400270453,0.864852195842943,0.10927854575811571,0.5006714841002877,0.13232672705263004,71.87502932548523
SBR_PHYS,XGB,isotonic,201,site_aware,5,0.8266518649122235,0.5122380243773323,0.1647416636390609,0.762848751835536,0.7619749447310243,0.860360530379554,0.09830221867781017,0.5122211280511089,0.21250740047117736,71.87502932548523
SBR_PHYS,XGB,temp,201,site_aware,5,0.8465994057530937,0.48890444225810026,0.1599231223109042,0.762848751835536,0.7777013076393668,0.864852195842943,0.10927854575811571,0.46463604747867027,0.13998046352514287,71.87502932548523
SBR_PHYS,XGB,gamma,201,site_aware,5,0.848114408854932,0.4786572145134667,0.1572399153495585,0.762848751835536,0.7777013076393668,0.864852195842943,0.10927854575811571,0.46075621179629644,0.1417039421586539,71.87502932548523
SBR_PHYS,LGB,raw,201,site_aware,5,0.8364319064877396,0.5214541886735821,0.16928353615142655,0.7599118942731278,0.7721254355400697,0.8570158723255599,0.10049694260604473,0.5272806573111958,0.1992237127359894,33.16612887382507
SBR_PHYS,LGB,platt,201,site_aware,5,0.8197755792818974,0.5314537051363629,0.17562569186228974,0.7555066079295154,0.7714481811942348,0.8570158723255599,0.10049694260604473,0.5190036156422498,0.1394277070402448,33.16612887382507
SBR_PHYS,LGB,isotonic,201,site_aware,5,0.8213493540557896,0.5184256385644421,0.17109419993354938,0.7334801762114538,0.7256235827664399,0.860360711081651,0.08431021279105629,0.49482771654388735,0.13767752833304303,33.16612887382507
